navn,type,adresse,ip,data
PlusServer GmbH,Other,GERMANY,62.138.0.25,16202128
TDC-CUSTOMER-NET,,,193.88.89.34,15803084
CUST007421,,,195.184.124.50,15412377
TDCH-NET,,,213.174.79.162,15347008
TDCH-NET,,,213.174.79.163,15255993
Ringsted Kommune,OTHER,"R?dhuset, Sct. Bendtsgade 1, 4100 Ringsted, Denmark",195.182.39.87,14729332
HEG Mass,OTHER,Germany,85.25.210.234,14167233
TDC-PROACCESS-WAN-NET,,,80.63.55.142,13951892
Vsgidion-NET-1,,,87.116.40.168,13496265
SEAS-NVE-INFRASTRUCTURE,,,5.103.131.208,13266966
CSC Danmark A/S,LIR,DENMARK,147.29.38.46,12459186
TDC-CUSTOMER-NET,,,193.88.89.35,12257341
AB-KOM-NET,,,194.239.195.65,11666855
DK-SONOFON-NET,,,212.88.79.62,11438102
SILKEBORG-KOMMUNE-NET,,,87.48.131.98,11378894
SIT-05-SHS-L2,,,188.64.156.195,11342319
TDC-BREDBAANDSADSL-STATIC-NET,,,87.62.86.190,10763588
LEIMDORFER-NET,,,88.131.219.130,10670667
FBB_RESIDENTIAL_DHCP_FIXED,,,78.156.118.239,10415976
KMD A/S,LIR,DENMARK,131.165.115.153,10216441
A/S ScanNet,OTHER,DK-Denmark,77.243.130.4,9461943
BREDBAANDNORD-NET,,,77.68.246.90,9214499
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,54.72.58.134,8901375
Zitcom A/S,LIR,DENMARK,185.21.41.54,8178790
TDC-CUSTOMER-NET,,,176.23.115.83,8161971
NETBLK-SOFTLAYER-RIPE-CUST-AH10976-RIPE,,,159.8.233.252,7858467
Fullrate A/S,OTHER,DENMARK,90.185.207.32,7351182
TDC A/S,LIR,DENMARK,195.41.8.133,7018919
FAVRSKOVDK,,,217.198.220.2,6899861
GARUDA-EUROPE-APS-NET,,,87.51.6.8,6709137
Private Enterprise RadioNet,OTHER,Ukraine,195.34.205.202,6626583
KABELTV,,,87.52.4.15,6463740
COHAESIO,,,212.97.130.160,6394184
CUST-GC-NET-0407,,,212.98.85.101,6280570
GALLUP_KBH_NY-Cirque,,,77.234.171.162,6180417
CYBERCITY-DSL-USERS,,,94.145.7.3,6155858
Telia Company AB,LIR,SWEDEN,62.44.135.137,6119621
Sanistaal A/S,OTHER,"Haandvaerkervej 14, DK-9000 Aalborg Denmark",195.10.207.4,5964121
TELEDANMARK-ADSL-USERS,,,80.63.99.242,5954616
intranote,,,92.246.5.117,5929288
Hostnordic A/S,LIR,DENMARK,81.95.247.176,5890920
Falck Danmark A/S,other,"Polititorvet, DK-1780 Copenhagen V Denmark",91.198.252.10,5343444
WESERVIT-RAMNODE,,,81.4.124.181,5065184
SkanderborgKommune-NET-1,,,37.49.141.200,4785475
TDC A/S,LIR,DENMARK,94.189.33.242,4700369
Region Sjaelland,OTHER,"Alleen 15, 4180 Soroe, Denmark",91.198.168.8,4500993
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.133,4439201
BOLIGNET-NET,,,79.142.224.210,4152009
CUST-GC-NET-0182,,,94.101.213.238,4090486
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.161,3939357
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.145,3922877
KMD A/S,LIR,DENMARK,131.165.101.68,3919350
CUST-GC-NET-1038,,,212.98.101.240,3885529
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.129,3820011
Zen Systems A/S,LIR,DENMARK,188.120.93.100,3816322
COP2-CWS,,,80.254.154.43,3803052
DK-UNI2-KUNDER,,,130.227.16.15,3773066
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.163,3744200
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.143,3737438
FRONT-DATA-DANMARK-A-S-NET,,,87.51.6.242,3669275
DIR A/S,LIR,DENMARK,185.16.17.139,3636256
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,52.17.252.212,3594048
Alm. Brand Forsikring A/S,other,"Midtermolen 7,DK-2100 Koebenhavn, Denmark",193.41.13.4,3576079
EDC-DK,,,77.66.2.66,3526527
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.167,3447939
FIBIA P/S,LIR,DENMARK,5.186.116.91,3331783
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,52.18.43.179,3253043
Telia Company AB,LIR,SWEDEN,212.97.200.24,3171260
SEAS-NVE-CUST-STATIC,,,212.178.178.64,3113773
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.185,3057696
FBB_RESIDENTIAL_DHCP_FIXED,,,92.246.23.29,3048327
JN-DATA-NET,,,195.249.127.231,3035320
TDCMOBILE-NAT,,,80.62.116.9,3001938
AARHUS-KOMMUNE-VAND-SPILDEVAND-A-S-NET,,,80.160.68.62,2974269
Ringkoebing-Skjern Kommune,other,DK,193.0.161.7,2920427
STOFANET,,,212.10.10.193,2867302
FBB_RESIDENTIAL_DHCP_DYNAMIC,,,188.114.179.100,2826989
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.137,2804138
FDM-NET,,,87.48.129.98,2730135
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,157.55.39.125,2694104
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,52.50.160.91,2676707
HOLSTEBRO-KOM-NET,,,194.239.249.144,2612553
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.188,2607415
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.165,2528099
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,52.208.101.63,2481937
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.149,2443501
STOFANET-15,,,212.10.215.204,2431233
IPV-313770,,,31.3.77.105,2380059
NORDJYSKE-MEDIER-A-S-NET,,,87.54.28.194,2362758
CUST-GC-NET-0173,,,94.101.209.98,2351873
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,68.180.229.161,2333641
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.135,2320268
DK-KEYWEB-ABAKOMP,,,87.118.67.27,2312346
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.177,2263105
Domstolsstyrelsen-NET-1,,,5.179.85.176,2254745
KMD A/S,LIR,DENMARK,131.165.57.130,2252210
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.157,2218178
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,207.46.13.145,2205130
KABELTV,,,83.95.107.192,2185805
KABELTV,,,2.104.20.44,2136461
Topdanmark EDB A/S,OTHER,Denmark,195.189.232.33,2133719
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.164,2125455
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,188.177.228.82,2112542
TDC-CUSTOMER-NET,,,93.178.191.1,2097959
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.168,2097417
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,188.177.201.94,2071550
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.134,2052110
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,188.176.96.251,2050102
ICL-FI,,,213.138.128.52,2025289
Bording-NET-1,,,83.136.95.10,2014364
DK-DDB-150128,,,212.93.55.37,1982128
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.171,1976261
TDC-BREDBAANDSADSL-STATIC-NET,,,188.180.9.82,1960905
FONDEN-DIS-NET,,,62.243.161.52,1928729
Telia Company AB,LIR,SWEDEN,62.44.135.8,1924691
DK-DDB-150128,,,212.93.55.34,1896546
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.179,1892944
KAMSTRUP-A-S-NET,,,195.215.168.34,1891081
"Koebenhavns Kommune, Leverancecenter IT, Infrastruktur",other,"Ottiliavej 1, 1 sal, 2500 Valby, Denmark",193.169.154.66,1878456
DfK-NET-1,,,185.49.252.6,1828959
FBB_BUSINESS_CONNECTION_NET,,,217.198.216.18,1828877
Altibox AS,LIR,NORWAY,79.161.228.235,1813637
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.191,1794336
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.170,1743591
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,157.55.39.137,1739156
Kviknet.dk ApS,LIR,DENMARK,185.107.12.51,1716122
DK-ATEA-AOS1,,,188.244.66.112,1686313
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,207.46.13.185,1677660
CYBERCITY-DSL-USERS,,,85.81.135.46,1658890
FIBERNET-BROADBAND,,,78.143.71.234,1647544
FIBIA P/S,LIR,DENMARK,5.186.156.22,1636143
Infrastructure,,,77.233.229.156,1635262
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.153,1608364
MELDGAARD-HOLDING-A-S-NET,,,194.182.140.226,1607303
TDC A/S,LIR,DENMARK,80.63.50.166,1584650
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.147,1579629
ZENSYSTEMS-DK,,,109.202.139.192,1576575
STOFANET-15,,,212.10.208.144,1523562
GLESYS-CUSTOMER-SERVERS,,,94.247.174.83,1523247
Leaseweb,,,46.165.195.139,1519188
PINGDOM-NET,,,178.255.153.2,1519172
ANEXIA-NET,,,37.252.231.50,1518959
MYLOC-DE-DUS2-ENTERPRISE-E154,,,46.20.45.18,1518332
HEG Mass,OTHER,Germany,188.138.118.184,1517096
UK2-57312-DEDI,,,83.170.113.210,1516875
Netgroup A/S,LIR,DENMARK,83.221.155.189,1512025
TDC-BREDBAANDSADSL-STATIC-NET,,,2.105.126.70,1507376
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.160,1499997
STOFANET-INET-CIDR-5,,,86.52.162.166,1483346
KABELTV,,,2.111.72.190,1473704
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.181,1471159
HERE-NETHERLANDS-INET,,,131.228.182.251,1463541
CUSTOMER-TRE-FOR-DK,,,87.104.68.33,1450317
Telia Company AB,LIR,SWEDEN,194.19.160.251,1448606
TDC A/S,LIR,DENMARK,87.48.129.146,1445913
NCT A/S,other,"Hjørringvej 152, 9400 , Nørresundby , Denmark",195.5.160.75,1442754
KABELTV,,,2.108.198.37,1440730
Netic A/S,LIR,DENMARK,77.243.50.50,1432893
WMDATASDC,,,62.243.4.35,1423726
Comendo Security Systems A/S,LIR,DENMARK,89.104.211.21,1412310
"Koebenhavns Kommune, Leverancecenter IT, Infrastruktur",other,"Ottiliavej 1, 1 sal, 2500 Valby, Denmark",193.169.154.65,1401331
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,188.177.122.178,1393341
NET-STATENSIT,,,188.64.152.209,1384206
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.189,1377161
Support-IT Network ApS,OTHER,2750 Ballerup,193.104.202.15,1353967
STOFANET-17,,,62.107.244.115,1322789
KMD A/S,LIR,DENMARK,131.165.63.132,1308921
KABELTV,,,83.89.0.122,1295021
Haderslev Kommune,other,DK,91.236.16.10,1283746
Randers Kommune,LIR,DENMARK,185.46.39.254,1269396
POST-DANMARK-NET,,,193.3.95.240,1250141
HETZNER-RZ-BLK-ERX2,,,148.251.66.240,1247813
Haldguttenberg-NET-1,,,130.185.135.242,1229518
DK-TELENOR-MBB,,,213.83.134.109,1228755
DK-EC487,,,212.130.49.210,1209402
TDCMOBILE-NAT,,,80.62.116.30,1199457
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.128,1194384
Telia Company AB,LIR,SWEDEN,62.44.134.58,1191580
C-4-HILLEROED-NET,,,87.48.133.165,1188356
Jay.net A/S,LIR,DENMARK,81.19.253.12,1188200
CUST-GC-NET-0227,,,212.98.82.162,1172875
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,188.178.0.191,1132906
LEASEWEB,,,95.211.228.65,1132111
SK-ELVISDK-DK-20130509,,,85.248.26.173,1129144
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.144,1127614
Cortex Consult A/S,OTHER,"Trekronergade 126 F 2500 Valby, Danmark",195.225.90.200,1112786
SEAS-NVE-CUST-STATIC,,,212.178.178.254,1111182
Skandinaviska Enskilda Banken AB,OTHER,106 40 Stockholm,129.178.88.85,1100510
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,2.105.228.55,1078253
DK-EC1777,,,212.130.22.140,1072971
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.156,1071451
Syd Energi Bredbaand A/S,Other,DENMARK,95.154.59.148,1071332
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.146,1068610
M1,,,89.221.171.36,1068381
KMD A/S,LIR,DENMARK,131.165.75.34,1068030
DANSK-CAMPING-UNION---DCU-NET,,,93.160.62.155,1064757
NET-STATENSIT,,,188.64.152.198,1060807
NIANET_CORE,,,83.136.89.52,1058497
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,176.20.149.145,1049743
KMD A/S,LIR,DENMARK,131.165.102.230,1046514
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.141,1045690
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.151,1045372
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,54.247.46.139,1041427
Front-Data Danmark A/S,LIR,DENMARK,185.66.184.55,1028693
TDC-PROACCESS-WAN-NET,,,80.62.245.130,1023207
EASYSPEEDY,,,82.103.128.63,1020109
NNIT-CORE,,,217.16.111.33,1019857
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.158,1012227
Fullrate A/S,OTHER,DENMARK,2.110.8.105,1010812
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,54.93.116.52,999253
Telia Company AB,LIR,SWEDEN,62.198.214.41,987791
Combine A/S,LIR,DENMARK,194.88.216.179,971922
KABELTV,,,80.161.173.192,970470
TELIA-DK,,,62.198.107.104,962483
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,93.166.164.113,959265
HVENEGAARD-OG-MEKLENBORG-A-S-NET,,,62.243.0.250,957403
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,188.181.179.194,956754
DK-HELSINGORKOMMUNE-NET,,,213.83.149.250,956368
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,54.93.67.243,955380
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.184,955229
TDCMOBILE-NAT,,,80.62.116.130,944864
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.169,944100
Netgroup A/S,LIR,DENMARK,77.66.37.219,943966
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,85.129.26.113,939903
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.138,938317
NATURGAS-FYN-I-S-NET,,,195.249.139.90,937474
TDC A/S,LIR,DENMARK,2.106.146.62,934493
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.130,933960
Telia Company AB,LIR,SWEDEN,194.255.148.98,932382
DLG a.m.b.a.,Other,DK,194.255.37.2,929324
KABELTV,,,83.90.148.205,924443
KABELTV,,,83.94.185.235,923192
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.131,921316
SEFLOW-DEDICATED-NET,,,95.141.32.46,918076
Horsens-Kommune-NET-1,,,130.185.136.10,909943
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.172,896214
STORKE-VINDUER-A-S-NET,,,87.54.15.98,895360
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.139,890985
KABELTV,,,2.108.210.48,887942
KAMSTRUP-A-S-NET,,,93.167.225.187,885416
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.183,877202
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,176.20.198.211,875467
KABELTV,,,83.90.135.187,860743
O-BRANDT-HANSEN-CO-A-S--NET,,,80.196.99.178,859249
DK-SONOFON-NET,,,213.83.153.107,851102
HJERTEFORENINGEN-NET,,,62.242.207.90,845674
Telia Company AB,LIR,SWEDEN,62.44.134.22,845050
TDC-BREDBAANDSADSL-STATIC-NET,,,87.63.124.166,840007
LEMAN-HOLDING-A-S-NET,,,83.91.87.130,833645
INTRUM-JUSTITIA-NETS,,,195.81.3.249,833533
BEC Bankernes EDB Central,OTHER,DENMARK,195.7.30.16,826089
C473-ZENSYSTEMS-DK,,,109.202.156.142,822090
TDC A/S,LIR,DENMARK,194.192.110.22,817697
PL-IDEA-MOBILE,,,37.47.12.79,814667
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,87.59.168.114,804059
DK-TELENOR-MBB,,,213.83.135.58,797700
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,87.56.72.238,793188
FT-BREIDBAND,,,217.172.94.237,792506
ITE-DKNET,,,87.104.224.139,791412
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.186,788678
COP2-CWS,,,80.254.154.83,783407
Syd Energi Bredbaand A/S,Other,DENMARK,37.128.215.113,782886
VENZOHOSTING-PRIMARYDATACENTER,,,89.188.82.1,777113
Aarhus Kommune,LIR,DENMARK,193.33.148.6,776432
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,52.28.174.253,775656
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.174,773969
Q8 Danmark AS,OTHER,DK,194.255.125.225,773123
PER-AARSLEFF-A-S-NET,,,87.54.10.144,771847
Netic A/S,LIR,DENMARK,77.243.50.216,764550
ETISALATADSL-EMIRNET,,,86.98.31.180,754334
TDCMOBILE-NAT,,,80.62.116.35,751166
Stofa A/S,LIR,DENMARK,178.155.157.170,749329
TDC-BREDBAANDSADSL-PROF-NET,,,193.88.207.118,747639
SOENDERBORG-KOMMUNE-NET,,,80.62.237.5,745782
CYBERCITY-DSL-USERS,,,77.213.219.86,742191
CANALDIGITAL,,,85.218.128.204,736303
TDC-BREDBAANDSADSL-STATIC-NET,,,87.63.112.106,720295
C473-ZENSYSTEMS-DK,,,109.202.156.135,718409
FBB_RESIDENTIAL_DHCP_DYNAMIC,,,178.157.255.91,718329
CYBERCITY-DSL-USERS,,,94.145.109.190,716696
CANALDIGITAL,,,85.218.128.206,715727
CUST-GC-NET-0877,,,37.205.123.230,714956
TDCMOBILE-NAT,,,80.62.116.126,712542
KABELTV,,,80.167.146.18,710898
CANALDIGITAL,,,85.218.128.205,707711
TDC-CUSTOMER-NET,,,193.89.252.134,703380
J.H. Schultz Information A/S,OTHER,Denmark,91.199.208.219,688644
HERE-NETHERLANDS-INET,,,131.228.182.253,683904
TDCMOBILE-NAT,,,80.62.116.229,668902
CUST-GC-NET-1379,,,212.98.117.211,666855
HI3G-CUSTOMER-NET,,,94.191.185.38,666343
TDCMOBILE-NAT,,,80.62.117.20,663887
ESBJERG-KOMMUNE-NET,,,195.249.137.139,661679
WIFI4ALL_CUSTOMERS_AREA_105,,,46.234.195.73,654086
TDC A/S,LIR,DENMARK,212.130.35.226,650549
Kolding Kommune,OTHER,"Aksel Torv 1, DK-6000 Kolding, Denmark",91.238.206.131,643963
SIT-05-SHS-L2,,,188.64.156.192,640332
TDCMOBILE-NAT,,,80.62.117.44,637426
Mentor IT A/S,LIR,DENMARK,176.62.207.33,633137
CYBERCITY-DSL-USERS,,,77.212.237.133,626510
Infrastructure,,,87.116.4.26,619862
ZNET-MIKRONET,,,95.138.194.14,618308
TDCMOBILE-NAT,,,80.62.116.113,614873
KABELTV,,,93.160.26.152,613616
ScanNet A/S,LIR,DENMARK,193.239.99.220,612660
TELIA-DK,,,62.198.85.66,611497
OTENET,,,79.131.157.203,611127
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,176.22.134.98,610065
KABELTV,,,87.60.184.91,608095
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,2.109.135.54,605802
SEAS-NVE-INFRASTRUCTURE,,,5.103.187.37,605760
TELEFON-SERVICE ApS,OTHER,Naverland 3,193.104.83.230,605731
Telenor A/S,LIR,DENMARK,130.227.9.48,604714
Telia Company AB,LIR,SWEDEN,62.198.224.186,600246
PINGDOM-NET,,,178.255.155.2,598892
DK-ALTIBOX-CUSTOMER-RESIDENTIAL-LINKNETS,,,188.228.86.89,591876
Telia Company AB,LIR,SWEDEN,62.44.134.12,590673
BREDBAANDNORD-NET,,,77.68.251.4,578876
Herning Kommune,LIR,DENMARK,91.207.2.10,575741
Codan A/S,other,"c/o Codanhus, Gammel Kongevej 60, 1850 Frederiksberg C",195.245.193.15,575319
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.132,574570
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,85.129.108.198,573641
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.175,567513
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.190,567278
